year,week,avg_close_price,avg_open_price,total_volume
1997,35,0.11593759804964066,0.11317699998617173,139248000
1998,9,0.2878125965595245,0.2766145944595337,1294968000
1999,47,4.282812595367432,4.169531285762787,1100400000
2001,43,0.4128999948501587,0.4039000034332275,1170494000
2002,26,0.8081000089645386,0.8080999970436096,839258000
2002,28,0.7647999882698059,0.7606000065803528,689938000
2002,32,0.6836999893188477,0.6769999980926513,487272000
2003,37,2.3105000495910644,2.3091000080108643,837502000
2003,51,2.454799938201904,2.4753000259399416,1057600000
2005,31,2.282800006866455,2.2658999443054197,654496000
2008,15,3.754099988937378,3.786399984359741,626796000
2010,42,8.15,8.09580020904541,988952000
2010,49,8.815800094604493,8.861600112915038,451584000
2013,43,16.813400268554688,16.766799926757812,543950000
2013,48,19.22925043106079,19.05037498474121,207448000
2018,44,79.98369903564453,80.18269805908203,1016148000
2019,10,83.04300079345703,83.5529998779297,469378000
2019,48,89.87612533569336,89.39937591552734,232328000
2020,48,157.46074676513672,157.1291275024414,289886000
2021,26,172.7613983154297,171.82129821777343,239034000
2021,29,180.02650146484376,179.03509826660155,301220000
2022,9,150.0594024658203,151.3393981933594,276024000
2022,17,138.50200347900392,140.2082977294922,600718000
2023,18,103.79800109863281,103.69399871826172,315546600
2024,29,188.11000061035156,190.4459991455078,216879400
1998,5,0.24208339750766755,0.24338520169258118,453360000
1999,18,3.5709375858306887,3.7606249809265138,2210620000
2003,40,2.5039000034332277,2.469700002670288,1065264000
2005,38,2.1013999938964845,2.102999973297119,424190000
2007,3,1.8817499876022339,1.891124963760376,517428000
2007,33,3.6850999355316163,3.7039000034332275,728372000
2009,21,3.8339000225067137,3.807400035858154,626684000
2009,30,4.463899993896485,4.408800029754639,1149630000
2009,51,6.45359992980957,6.514600086212158,915898000
2011,5,8.649200248718262,8.59600009918213,487564000
2011,16,9.0864999294281,9.036374807357788,293562000
2011,37,11.24739990234375,10.983199882507325,668430000
2013,50,19.20349998474121,19.25770034790039,261972000
2016,45,38.259500122070314,38.35149993896484,746594000
2019,47,87.31280059814453,87.26450042724609,260846000
2021,9,152.23699951171875,153.69540100097657,403676000
2024,14,181.8280029296875,181.22799987792968,176830900
2024,18,181.1780029296875,182.66400146484375,336824300
2024,19,188.48799743652344,188.13600158691406,172420800
1999,31,2.3206252098083495,2.366562604904175,2545080000
2009,23,4.2673999786376955,4.15649995803833,830516000
2011,10,8.392300033569336,8.405499839782715,557382000
2011,14,9.206099891662598,9.171799850463866,469534000
2013,18,12.623800086975098,12.632499885559081,464148000
2014,1,17.27100028991699,17.263999938964844,229960000
2014,3,19.79800033569336,19.769900131225587,299392000
2014,24,16.472900009155275,16.578200149536134,367070000
2017,37,49.39140014648437,49.315100860595706,314320000
2018,22,81.36150169372559,80.98550033569336,264672000
2023,42,129.1440002441406,129.9200012207031,252244800
2000,31,1.5518750190734862,1.5231249809265137,652066000
2000,43,1.6393749952316283,1.596875,1652906000
2004,34,1.9368000030517578,1.9135000228881835,967280000
2009,18,4.047900009155273,4.1085999488830565,840486000
2012,40,12.775099945068359,12.766200256347656,260590000
2017,31,49.543600463867186,50.06080017089844,439616000
2021,17,172.23660278320312,172.5648986816406,560628000
2022,18,121.17229919433593,121.58089904785156,607320000
2023,46,143.9199981689453,143.54200134277343,255521100
2007,22,3.4651249647140503,3.463374972343445,772632000
2010,13,6.740999937057495,6.786375045776367,484120000
2015,50,33.14420013427734,33.326900482177734,429456000
2020,6,102.23249816894531,101.94510192871094,476710000
2021,1,158.88380126953126,159.1949035644531,370278000
2025,8,223.18500137329102,225.60000228881836,156867400
2001,13,0.5361000061035156,0.5341000080108642,480750000
2002,12,0.7486999988555908,0.7351999878883362,653354000
2002,33,0.7182000041007995,0.7080999970436096,487432000
2008,44,2.7646000385284424,2.7079999923706053,1229010000
2012,14,9.826124906539917,9.834499835968018,402108000
2019,14,91.05010070800782,90.875,377548000
2021,43,169.0792999267578,167.74629821777344,396426000
2024,17,177.32999572753906,176.48800048828124,202325700
1998,28,0.95625,0.9931249856948853,4138440000
2001,14,0.4361999988555908,0.45529999732971194,601660000
2011,29,10.748699951171876,10.769499969482421,376904000
2013,12,12.827200126647949,12.864100074768066,302572000
2020,16,115.43059997558593,112.16480102539063,832774000
2000,19,2.7420312404632567,2.7646876335144044,535274000
2003,49,2.634500026702881,2.65649995803833,940984000
2008,35,4.1057000160217285,4.139200019836426,538414000
1997,38,0.17093759775161743,0.1706769973039627,513624000
2024,52,226.22750091552734,226.51250076293945,86591300
1997,27,0.08196599967777729,0.07708325050771236,409968000
1998,24,0.45854160785675047,0.434375,2133828000
2001,1,0.723199999332428,0.7300749897956849,986758000
2001,27,0.7399999797344208,0.7221249938011169,604200000
2002,19,0.8421999931335449,0.8360999941825866,747196000
2002,31,0.715499997138977,0.7033000111579895,533096000
2003,31,2.0579999923706054,2.073899984359741,804418000
2005,29,1.8943000078201293,1.8866999864578247,642180000
2006,39,1.6057999849319458,1.5949999809265136,628342000
2009,27,4.095125079154968,4.1627501249313354,569098000
2009,31,4.254100036621094,4.25949993133545,793944000
2009,49,6.954100036621094,6.953200054168701,1258520000
2010,27,5.712124943733215,5.650749921798706,420008000
2011,20,9.818599891662597,9.82770004272461,569954000
2013,23,13.444499969482422,13.392600059509277,305074000
2016,48,37.6384994506836,38.02799911499024,411286000
2017,27,48.36199951171875,48.3566255569458,249302000
2018,11,79.31569976806641,79.84009857177735,509204000
2019,4,82.47112464904785,83.10712623596191,413556000
2020,39,152.04239807128906,150.93419799804687,577280000
2023,52,153.0175018310547,153.48500061035156,123382100
1998,2,0.23244799673557281,0.237812602519989,462984000
2000,32,1.6175000190734863,1.5962500095367431,670346000
2001,7,0.7087500095367432,0.7037500023841858,821784000
2001,9,0.5431249976158142,0.5503125965595246,942676000
2003,38,2.333800029754639,2.3099999904632567,696086000
2006,42,1.624899983406067,1.6248000144958497,572628000
2010,1,6.643600082397461,6.66850004196167,889826000
2010,45,8.516400146484376,8.552199935913086,559544000
2012,31,11.672599792480469,11.708300018310547,312144000
2017,26,49.050200653076175,49.36860046386719,371990000
2020,4,94.07099914550781,94.21962356567383,263498000
2023,13,100.16399993896485,99.91600189208984,245608400
2001,41,0.3721000015735626,0.36380000710487365,401582000
2003,21,1.6050999879837036,1.6037999868392945,771662000
2003,29,1.8667999744415282,1.9009999752044677,824246000
2009,32,4.273199939727784,4.280900001525879,608826000
2010,24,6.2928999900817875,6.2604998588562015,394866000
2011,3,9.21875,9.348124742507935,405894000
2012,45,11.576100158691407,11.615800094604491,284130000
2013,34,14.369699859619141,14.321699905395509,185270000
2013,36,14.65499997138977,14.52525019645691,188896000
2013,49,19.34360008239746,19.476100158691406,293268000
2014,36,17.171375274658203,17.156375408172607,207846000
2014,44,14.842099952697755,14.736999893188477,500220000
2015,18,21.418899917602538,21.600500106811523,408136000
2015,36,25.237000274658204,25.328200149536134,328322000
