year,month,avg_close_price,avg_open_price,total_volume
1998,5,0.37373060286045073,0.3751042991876602,3497400000
1998,9,0.7503287593523661,0.7381944287390936,13556712000
2002,12,1.0921190466199602,1.0974999950045632,3112212000
2007,3,1.9327954649925232,1.9303181767463684,2843062000
2011,5,9.908333278837658,9.899381001790365,2125490000
2013,12,19.574833370390394,19.608928589593795,1113734000
2014,3,18.131523949759348,18.25047592889695,1505070000
2019,10,87.61658676810886,87.45689193062161,1407210000
2021,1,160.0024205258018,160.3267637553968,1430578000
2021,9,171.35914321172805,171.6220964704241,1250554000
2022,9,123.21381051199776,123.16380964006696,1210487600
2025,8,224.67095220656623,224.22523716517858,877658700
2011,10,11.341904776436943,11.320118994939895,3184288000
2014,1,19.743166696457635,19.798642748878116,1620238000
2020,6,130.67727279663086,130.41750023581764,1756366000
1998,2,0.264871209859848,0.26107457672294815,2612424000
2001,1,0.8906621904600234,0.8860119496073041,4209736000
2001,7,0.7391428521701268,0.7378571459225246,3441574000
2001,9,0.3721666673819224,0.377400000890096,2536868000
2010,1,6.371157872049432,6.41807894957693,4617220000
2012,5,11.044250054792924,11.061863682486795,1855486000
2014,9,16.515595209030877,16.54954755873907,1360656000
2015,10,28.337159156799316,28.236272898587313,1942522000
2015,11,32.88477478027344,32.86087512969971,1746098000
2017,4,45.169289438348066,45.24452611019737,1470794000
2018,8,94.89256452477497,94.59789110266644,1931516000
2018,11,81.27418990362258,81.11619022914341,2785800000
2019,4,93.31011926560174,93.18130820138114,1624784000
2020,1,94.21188027518136,94.30276162283761,1693966000
2020,4,111.43526204427083,110.80557178315662,2492196000
2023,10,128.27863589200106,128.15954555164683,1224668600
2025,9,231.31666564941406,231.7522260877821,362002300
2008,11,2.220657913308395,2.2360263309980692,4561030000
2015,5,21.346374988555908,21.351074981689454,1039660000
2016,4,30.67971420288086,30.676547550019762,1569284000
2011,3,8.440195581187373,8.431521623030953,2379582000
2011,7,10.75974998474121,10.76234998703003,1856170000
2018,7,89.23245239257812,89.31528581891742,1950422000
1998,12,2.185440318150954,2.1473247625611047,14484360000
2000,1,3.4025000095367433,3.4264062523841856,5244180000
2002,7,0.738999995318326,0.7369545535607771,3531844000
2003,1,1.075428565343221,1.065571421668643,3383944000
2003,7,1.9423863725228743,1.936363615772941,4584790000
2005,5,1.732880955650693,1.7235000019981748,2338956000
2007,9,4.423078938534386,4.389763179578279,2445464000
2012,10,12.214738119216193,12.289857228597006,1631370000
2013,1,13.418976284208751,13.46202378045945,1684528000
2013,3,13.287925052642823,13.271049976348877,1170114000
2014,6,16.22866662343343,16.224000158764067,1531602000
2016,10,41.22195216587612,41.34616688319615,1541276000
2017,10,50.035999818281695,49.976999976418234,1666682000
2018,10,89.10291290283203,89.98154283606488,3664416000
2019,1,82.00161888485863,81.6172619774228,2680034000
2020,9,158.0374029250372,159.02704729352678,2317986000
2023,1,94.22350006103515,93.45199966430664,1523798600
2025,3,198.50904773530505,198.8347632998512,966721800
2005,12,2.4390952360062372,2.4411428655896867,2423356000
2008,3,3.429075002670288,3.4071499943733214,3853712000
